Year,Country,Latitude,Longitude,,1982
1984,Austria_Offshore,47.5162,14.5501,,0
1984,Denmark_Land,56.2639,9.5018,,1
1984,Denmark_Offshore,56.419044,7.243998,,34
1984,France_Land,46.2276,2.2137,,237
1984,France_Offshore,46.658824,-3.518222,,8
1984,Germany_Land,51.1657,10.4515,,225
1984,Germany_Offshore,54.255762,7.408047,,0
1984,Greece_Land,39.0742,21.8243,,35
1984,Greece_Offshore,39.495183,23.367596,,12
1984,Netherlands_Land,52.1326,5.2913,,91
1984,Netherlands_Offshore,52.669133,4.194947,,128
1984,Hungary_Land,47.1625,19.5033,,0
1984,Hungary_Offshore,,,,0
1984,Italy_Land,41.8719,12.5674,,243
1984,Italy_Offshore,41.727206,10.896804,,73
1984,Norway_Land,60.4720,8.4689,,0
1984,Norway_Offshore,60.010363,3.58667,,117
1984,Poland_Land,51.9194,19.1451,,0
1984,Poland_Offshore,55.155538,17.566921,,0
1984,Romania_Land,45.9432,24.9668,,0
1984,Romania__Offshore,,,,0
1984,Spain_Land,40.4637,-3.7492,,54
1984,Spain_Offshore,39.467705,0.812242,,48
1984,Turkey_Land,38.9637,35.2433,,288
1984,Turkey_Offshore,42.573404,34.154628,,0
1984,U.K._Land,55.3781,-3.4360,,63
1984,U.K._Offshore,57.479149,-0.12889,,652
1984,Yugoslavia/Croatia_Land,45.1000,15.2000,,281
1984,Yugoslavia/Croatia_Offshore,43.165008,15.806668,,24
1984,Abu Dhabi_Land,24.4539,54.3773,,116
1984,Abu Dhabi_Offshore,24.756606,54.280173,,235
1984,Dubai_Land,25.2048,55.2708,,42
1984,Dubai_Offshore,25.452626,55.17867,,39
1984,Egypt_Land,26.8206,30.8025,,188
1984,Egypt_Offshore,31.951179,30.916615,,249
1984,Iran_Land,32.4279,53.6880,,216
1984,Iran_Offshore,26.986451,52.797098,,24
1984,Iraq_Land,33.2232,43.6793,,226
1984,Iraq_Offshore,29.826924,48.713334,,0
1984,Jordan_Land,30.5852,36.2384,,35
1984,Jordan_Offshore,,,,0
1984,Kuwait_Land,29.3117,47.4818,,56
1984,Kuwait_Offshore,29.153707,48.492063,,8
1984,Oman_Land,21.4735,55.9754,,136
