,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia_Offshore,9,10,10,9,6,3,5,7,6,5,4,5,6,6,5,7,7,6,5,4,4,5,6,8,9,11,13,9,10,6,8,7,7,7,3,1,2,2
Bangladesh,5,2,4,5,5,5,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Bangladesh_Offshore,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Brunei,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0
Brunei_offshore,7,7,7,6,4,3,3,3,4,3,2,1,2,1,1,2,2,3,2,2,2,2,2,2,3,3,2,3,4,3,1,1,1,1,1,1,1,1
India,41,42,40,47,55,94,102,111,110,113,104,95,72,61,51,49,39,36,40,41,43,44,47,51,54,55,55,58,80,85,84,84,87,87,80,81,85,82
India_Offshore,10,14,17,15,15,22,25,24,27,22,20,21,13,11,10,11,13,10,9,9,11,16,23,29,28,29,26,27,28,30,30,35,37,23,28,32,32,35
Indonesia*,60,63,56,56,42,25,33,37,36,38,35,31,29,26,31,39,32,20,23,31,37,33,34,33,32,37,45,50,45,41,34,28,23,20,15,24,30,20
Indonesia*_Offshore,32,26,26,24,20,12,11,10,16,14,14,16,13,11,12,15,18,13,9,10,9,12,16,22,18,20,20,13,14,14,11,10,11,8,3,2,3,5
Japan,18,18,15,12,12,10,10,5,7,4,6,7,6,8,7,5,5,5,5,7,6,6,3,3,2,2,3,4,2,1,1,1,0,0,0,1,0,2
Japan_Offshore,4,2,3,4,3,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0
Malaysia,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Malaysia_Offshore,13,10,9,8,8,8,9,11,13,13,9,8,10,9,6,6,8,6,7,11,14,14,14,13,13,15,13,13,12,8,13,12,8,8,4,5,8,8
Myanmar,32,36,32,32,32,29,26,23,20,22,18,16,11,10,10,6,7,7,9,6,9,8,8,8,8,7,5,3,2,2,0,1,1,0,0,0,0,1
Myanmar_Offshore,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2
New Zeald,1,2,1,3,4,2,1,1,0,1,1,1,1,2,1,1,1,1,1,2,2,1,3,5,4,3,4,3,4,4,5,6,3,1,0,0,1,2
New Zeald_Offshore,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,1,3,1,0,0,0,0
Off China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Off China_Offshore,10,10,9,14,7,4,8,4,3,2,3,2,5,7,9,9,11,9,9,11,9,10,11,15,17,19,21,24,27,27,17,18,28,28,27,23,29,39
PNG,0,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,0,1,1,2,2,2,2,2,3,2,3,4,3,3,5,3,2,1,1,1
PNG_Offshore,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillippines,12,8,3,2,1,2,3,5,6,4,6,8,10,7,5,2,0,0,0,0,1,1,3,3,2,0,2,4,5,3,1,2,2,3,2,1,0,1
Phillippines_Offshore,3,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Taiwan,3,4,5,5,5,3,2,4,3,2,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan_Offshore,0,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,3,6,5,4,2,3,2,2,3,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,2,3,2,4,3,5,4,4,3,4,2,3,2,2
Thailand_Offshore,5,6,6,5,1,3,3,3,3,3,4,4,4,4,6,5,6,6,5,5,7,5,5,7,8,8,10,9,9,9,11,14,14,14,11,8,5,3
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,6,7,8,8,8,8,9,8,9,9,7,7,7,13,8,5,3,5,3,3,3,3,2
Oth Far East,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Oth Far East_Offshore,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
